Updates_To_Network,Average_Score
3129,35.0
3191,17.5
3253,11.666666666666666
3301,8.75
3363,7.0
3417,5.833333333333333
3474,5.0
3536,4.375
3598,3.888888888888889
3660,3.5
10225,3.5454545454545454
10295,3.3333333333333335
10365,3.1538461538461537
10428,2.9285714285714284
10490,2.7333333333333334
10552,2.5625
10614,2.411764705882353
10672,2.2777777777777777
10734,2.1578947368421053
10796,2.05
17136,4.904761904761905
17198,4.681818181818182
17260,4.478260869565218
17330,4.333333333333333
17393,4.16
17455,4.0
17513,3.8518518518518516
17567,3.7142857142857144
17632,3.586206896551724
17694,3.466666666666667
19442,3.5806451612903225
19504,3.46875
19566,3.3636363636363638
19627,3.264705882352941
19689,3.1714285714285713
19751,3.0833333333333335
19813,3.0
19875,2.9210526315789473
19937,2.8461538461538463
19999,2.775
24412,3.1219512195121952
24474,3.0476190476190474
24572,3.0
24634,2.9318181818181817
24696,2.8666666666666667
24802,2.847826086956522
24864,2.7872340425531914
24926,2.7291666666666665
25024,2.693877551020408
25086,2.64
28339,2.9215686274509802
28401,2.8653846153846154
28463,2.811320754716981
28525,2.759259259259259
28587,2.709090909090909
28649,2.6607142857142856
28747,2.6315789473684212
28809,2.586206896551724
28956,2.593220338983051
29013,2.55
38723,4.557377049180328
38785,4.483870967741935
38847,4.412698412698413
38909,4.34375
38971,4.276923076923077
39033,4.212121212121212
39095,4.149253731343284
39165,4.102941176470588
39227,4.043478260869565
39322,4.0
43217,4.014084507042254
43279,3.9583333333333335
43341,3.904109589041096
43416,3.864864864864865
43478,3.8133333333333335
43540,3.763157894736842
43602,3.7142857142857144
43677,3.6794871794871793
43734,3.632911392405063
43810,3.6
46272,3.9012345679012346
46329,3.8536585365853657
46389,3.8072289156626504
46481,3.7738095238095237
46543,3.7294117647058824
46603,3.686046511627907
46665,3.6436781609195403
46727,3.602272727272727
46789,3.561797752808989
46851,3.522222222222222
52585,3.6043956043956045
52647,3.5652173913043477
52706,3.5268817204301075
52768,3.4893617021276597
52825,3.4526315789473685
52890,3.4166666666666665
52952,3.381443298969072
53028,3.357142857142857
53082,3.323232323232323
53141,3.29
62537,4.306930693069307
62599,4.264705882352941
62661,4.223300970873787
62723,4.1826923076923075
62775,4.142857142857143
62837,4.10377358490566
62943,4.08411214953271
